sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
0,-100,1,4,4,0
1,-100,1,244,4,0
2,-100,1,627,6,0
3,-99,1,240,10,0
4,-98,1,209,8,0
5,-98,1,603,8,0
6,-98,1,422,10,0
7,-98,1,233,10,0
8,-98,1,46,6,0
9,-98,1,117,6,0
10,-98,1,236,8,0
11,-98,1,47,11,0
12,-98,1,570,12,0
13,-98,1,21,8,0
14,-97,1,480,8,0
15,-96,1,78,7,0
16,-95,1,531,6,0
17,-94,1,12,8,0
18,-94,1,521,10,0
19,-94,1,119,9,0
20,-94,1,61,7,0
21,-94,1,176,10,0
22,-93,1,218,8,0
23,-92,1,412,10,0
24,-92,1,490,6,0
25,-92,1,335,2,0
26,-92,1,57,4,0
27,-92,1,95,6,0
28,-92,1,168,5,0
29,-92,1,104,6,0
30,-92,1,247,11,0
31,-92,1,105,4,0
32,-92,1,135,7,0
33,-92,1,93,6,0
34,-92,1,258,6,0
35,-92,1,237,10,0
36,-91,1,37,4,0
37,-91,1,0,10,0
38,-91,1,18,4,0
39,-91,1,256,3,0
40,-90,1,130,9,0
41,-90,1,95,7,0
42,-90,1,148,10,0
43,-90,1,382,8,0
44,-90,1,191,8,0
45,-90,1,60,8,0
46,-90,1,2,10,0
47,-90,1,14,8,0
48,-90,1,318,6,0
49,-90,1,6,5,0
50,-89,1,42,7,0
51,-88,1,243,7,0
52,-88,1,34,10,0
53,-87,1,334,5,0
54,-87,1,57,3,0
55,-87,1,64,5,0
56,-86,1,353,6,0
57,-86,1,377,10,0
58,-86,1,19,6,0
59,-86,1,233,6,0
60,-86,1,20,12,0
61,-86,1,324,2,0
62,-86,1,379,7,0
63,-85,1,323,9,0
64,-85,1,168,10,0
65,-85,1,188,5,0
66,-85,1,258,12,0
67,-85,1,479,8,0
68,-85,1,271,8,0
69,-85,1,29,3,0
70,-85,1,7,6,0
71,-85,1,269,7,0
72,-85,1,38,7,0
73,-85,1,30,4,0
74,-85,1,379,8,0
75,-85,1,2,4,0
76,-85,1,158,2,0
77,-85,1,230,8,0
78,-85,1,603,9,0
79,-85,1,110,10,0
80,-85,1,359,9,0
81,-85,1,4,6,0
82,-85,1,41,3,0
83,-84,1,9,6,0
84,-84,1,55,12,0
85,-84,1,137,10,0
86,-84,1,23,7,0
87,-84,1,101,9,0
88,-84,1,116,8,0
89,-84,1,13,4,0
90,-84,1,5,4,0
91,-84,1,66,12,0
92,-84,1,259,6,0
93,-84,1,112,1,0
94,-84,1,253,3,0
95,-84,1,152,6,0
96,-83,1,1,10,0
97,-83,1,147,9,0
98,-83,1,667,3,0
99,-83,1,447,4,0
100,-83,1,5,7,0
101,-83,1,44,4,0
102,-83,1,379,8,0
103,-83,1,182,8,0
104,-83,1,258,1,0
105,-83,1,120,1,0
106,-82,1,150,8,0
107,-81,1,254,6,0
108,-80,1,0,12,0
109,-80,1,493,8,0
110,-80,1,207,6,0
111,-80,1,109,2,0
112,-80,1,69,8,0
113,-80,1,1,8,0
114,-80,1,8,5,0
115,-80,1,298,8,0
116,-80,1,450,4,0
117,-80,1,192,10,0
118,-80,1,45,2,0
119,-80,1,750,6,0
120,-79,1,29,8,0
121,-79,1,275,6,0
122,-79,1,232,4,0
123,-79,1,90,2,0
124,-78,1,232,6,0
125,-78,1,90,3,0
126,-78,1,325,8,0
127,-78,1,12,7,0
128,-78,1,369,9,0
129,-78,1,354,5,0
130,-78,1,16,6,0
131,-78,1,347,2,0
132,-78,1,180,6,0
133,-77,1,265,6,0
134,-77,1,120,8,0
135,-77,1,9,4,0
136,-77,1,21,6,0
137,-77,1,75,12,0
138,-77,1,87,1,0
139,-77,1,438,7,0
140,-77,1,140,5,0
141,-77,1,6,9,0
142,-77,1,135,5,0
143,-76,1,715,7,0
144,-76,1,139,6,0
145,-76,1,27,5,0
146,-76,1,0,8,0
147,-76,1,493,7,0
148,-75,1,27,6,0
149,-74,1,346,4,0
150,-74,1,105,6,0
151,-74,1,3,6,0
152,-74,1,62,3,0
153,-73,1,2,4,0
154,-72,1,334,7,0
155,-72,1,29,6,0
156,-72,1,336,11,0
157,-72,1,354,5,0
158,-72,1,652,8,0
159,-72,1,24,12,0
160,-72,1,425,5,0
161,-72,1,17,3,0
162,-72,1,39,6,0
163,-72,1,152,2,0
164,-72,1,128,8,0
165,-72,1,75,4,0
166,-72,1,181,9,0
167,-72,1,419,6,0
168,-72,1,485,8,0
169,-72,1,362,4,0
170,-72,1,550,2,0
171,-72,1,538,10,0
172,-72,1,116,12,0
173,-71,1,28,1,0
174,-70,1,96,10,0
175,-69,1,234,9,0
176,-69,1,1,4,0
177,-68,1,385,4,0
178,-68,1,7,12,0
179,-68,1,337,2,0
180,-68,1,31,2,0
181,-68,1,20,10,0
182,-68,1,6,8,0
183,-68,1,2,2,0
184,-68,1,9,10,0
185,-68,1,21,8,0
186,-68,1,28,8,0
187,-68,1,668,8,0
188,-67,1,702,8,0
189,-66,1,381,7,0
190,-66,1,74,4,0
191,-66,1,47,11,0
192,-65,1,26,8,0
193,-64,1,309,6,0
194,-63,1,204,11,0
195,-62,1,4,10,0
196,-62,1,2,7,0
197,-62,1,16,8,0
198,-62,1,44,6,0
199,-62,1,55,8,0
200,-62,1,275,11,0
201,-62,1,31,12,0
202,-62,1,5,7,0
203,-61,1,233,8,0
204,-61,1,236,6,0
205,-60,1,139,4,0
206,-60,1,82,9,0
207,-60,1,660,9,0
208,-60,1,44,6,0
209,-60,1,369,8,0
210,-59,1,5,2,0
211,-58,1,61,5,0
212,-58,1,294,10,0
213,-58,1,176,6,0
214,-58,1,379,4,0
215,-58,1,53,6,0
216,-58,1,425,8,0
217,-57,1,299,7,0
218,-57,1,264,4,0
219,-57,1,300,8,0
220,-57,1,240,2,0
221,-57,1,102,9,0
222,-57,1,690,7,0
223,-57,1,116,4,0
224,-57,1,40,7,0
225,-57,1,211,11,0
226,-57,1,146,8,0
227,-57,1,512,4,0
228,-56,1,459,8,0
229,-56,1,360,5,0
230,-56,1,294,9,0
231,-56,1,59,8,0
232,-56,1,29,6,0
233,-56,1,1,8,0
234,-56,1,3,8,0
235,-56,1,503,8,0
236,-56,1,8,10,0
237,-56,1,372,6,0
238,-55,1,355,9,0
239,-54,1,322,8,0
240,-53,1,17,3,0
241,-52,1,81,10,0
242,-52,1,5,7,0
