order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-66,0,1,60,picker-3,59,60
-87,0,1,60,picker-3,59,60
-57,0,1,151,picker-2,150,151
-43,0,1,168,picker-3,167,168
-75,0,2,168,picker-3,166,168
-18,0,1,187,picker-2,186,187
-46,0,1,201,picker-1,200,201
-51,0,2,213,picker-3,211,213
-11,0,61,289,picker-3,228,289
-69,0,61,289,picker-3,228,289
-98,0,2,295,picker-3,293,295
-26,0,2,320,picker-3,318,320
-49,0,2,331,picker-3,329,331
-48,0,1,338,picker-1,337,338
-31,0,152,343,picker-2,191,343
-42,0,1,345,picker-1,344,345
-52,0,1,353,picker-1,352,353
8,180,188,361,picker-2,173,181
-23,0,1,375,picker-2,374,375
-64,0,1,389,picker-2,388,389
7,180,202,391,picker-1,189,211
-1,0,169,422,picker-3,253,422
-38,0,214,425,picker-3,211,425
-27,0,169,430,picker-3,261,430
-47,0,1,435,picker-2,434,435
-35,0,1,457,picker-2,456,457
-55,0,1,463,picker-2,462,463
-93,0,290,493,picker-3,203,493
-21,0,339,518,picker-1,179,518
-76,0,344,541,picker-2,197,541
-22,0,346,552,picker-1,206,552
-80,0,354,564,picker-1,210,564
1,60,392,581,picker-1,189,521
5,120,423,620,picker-3,197,500
-33,0,436,642,picker-2,206,642
-86,0,426,676,picker-3,250,676
9,240,458,683,picker-2,225,443
-54,0,1,700,picker-1,699,700
-2,0,519,712,picker-1,193,712
-70,0,542,735,picker-2,193,735
-81,0,376,753,picker-2,377,753
-19,0,553,760,picker-1,207,760
-40,0,1,765,picker-1,764,765
-25,0,290,775,picker-3,485,775
16,300,431,810,picker-3,379,510
-53,0,494,845,picker-3,351,845
-79,0,565,847,picker-1,282,847
17,300,332,850,picker-3,518,550
-15,0,582,859,picker-1,277,859
-73,0,713,899,picker-1,186,899
22,420,677,905,picker-3,228,485
-32,0,643,908,picker-2,265,908
-29,0,621,909,picker-3,288,909
0,60,296,914,picker-3,618,854
-63,0,321,918,picker-3,597,918
25,480,684,933,picker-2,249,453
-89,0,776,935,picker-3,159,935
-74,0,701,956,picker-1,255,956
20,360,464,960,picker-2,496,600
-67,0,390,1033,picker-2,643,1033
23,420,736,1033,picker-2,297,613
32,600,811,1052,picker-3,241,452
48,780,848,1059,picker-1,211,279
37,660,909,1090,picker-2,181,430
58,900,900,1110,picker-1,210,210
51,840,934,1168,picker-2,234,328
65,960,961,1186,picker-2,225,226
11,240,957,1190,picker-1,233,950
-96,0,362,1190,picker-2,828,1190
-68,0,1,1197,picker-1,1196,1197
60,900,915,1200,picker-3,285,300
36,660,766,1207,picker-1,441,547
14,300,860,1221,picker-1,361,921
67,1020,1034,1226,picker-2,192,206
-99,0,1060,1230,picker-1,170,1230
-24,0,761,1261,picker-1,500,1261
-56,0,1,1287,picker-1,1286,1287
10,240,1091,1297,picker-2,206,1057
68,1020,1053,1312,picker-3,259,292
69,1080,1187,1349,picker-2,162,269
42,720,919,1373,picker-3,454,653
56,840,1201,1373,picker-3,172,533
54,840,936,1413,picker-3,477,573
66,1020,1191,1415,picker-1,224,395
-72,0,1198,1423,picker-1,225,1423
33,600,1034,1428,picker-2,394,828
6,180,1169,1428,picker-2,259,1248
38,720,910,1448,picker-3,538,728
-14,0,1222,1449,picker-1,227,1449
-37,0,846,1461,picker-3,615,1461
28,600,851,1465,picker-3,614,865
77,1200,1313,1505,picker-3,192,305
-7,0,906,1519,picker-3,613,1519
-4,0,1350,1522,picker-2,172,1522
72,1140,1227,1528,picker-2,301,388
-17,0,1414,1582,picker-3,168,1582
90,1320,1374,1594,picker-3,220,274
64,960,1208,1595,picker-1,387,635
74,1140,1374,1605,picker-3,231,465
-50,0,1449,1666,picker-3,217,1666
34,600,1429,1678,picker-2,249,1078
73,1140,1416,1683,picker-1,267,543
78,1200,1429,1697,picker-2,268,497
49,840,1231,1733,picker-1,502,893
-45,0,1298,1738,picker-2,440,1738
-94,0,1424,1739,picker-1,315,1739
91,1440,1450,1757,picker-1,307,317
-60,0,1192,1778,picker-2,586,1778
-13,0,1523,1794,picker-2,271,1794
76,1200,1288,1805,picker-1,517,605
53,840,1679,1834,picker-2,155,994
-8,0,1596,1848,picker-1,252,1848
47,780,1111,1851,picker-1,740,1071
85,1260,1262,1873,picker-1,611,613
95,1500,1684,1886,picker-1,202,386
-16,0,1529,1973,picker-2,444,1973
40,720,1698,1973,picker-2,275,1253
-91,0,1739,2001,picker-2,262,2001
102,1620,1667,2016,picker-3,349,396
35,600,1466,2095,picker-3,629,1495
93,1500,1506,2124,picker-3,618,624
57,840,1852,2145,picker-1,293,1305
19,360,1520,2209,picker-3,689,1849
30,600,2017,2224,picker-3,207,1624
92,1440,1606,2230,picker-3,624,790
31,600,1595,2240,picker-3,645,1640
117,1980,2002,2244,picker-2,242,264
109,1800,1806,2254,picker-1,448,454
-88,0,1758,2267,picker-1,509,2267
89,1320,1462,2308,picker-3,846,988
-85,0,1583,2345,picker-3,762,2345
